Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
920	0.8984375000	82.6470947266	82.6470947266	0.0000000000	0.0000000000
921	0.8994140625	82.8051090241	82.8051090240	0.0000000000	0.0000001192
922	0.9003906250	82.9632949829	82.9632949829	0.0000000000	0.0000000000
923	0.9013671875	83.1216526032	83.1216526031	0.0000000000	0.0000000000
924	0.9023437500	83.2801818848	83.2801818848	0.0000000000	0.0000002384
925	0.9033203125	83.4388828278	83.4388828278	0.0000000000	0.0000000000
926	0.9042968750	83.5977554321	83.5977554321	0.0000000000	0.0000001192
927	0.9052734375	83.7567996979	83.7567996979	0.0000000000	0.0000002384
928	0.9062500000	83.9160156250	83.9160156250	0.0000000000	0.0000000000
929	0.9072265625	84.0754032135	84.0754032135	0.0000000000	0.0000002384
930	0.9082031250	84.2349624634	84.2349624634	0.0000000000	0.0000003576
931	0.9091796875	84.3946933746	84.3946933746	0.0000000000	0.0000000000
932	0.9101562500	84.5545959473	84.5545959473	0.0000000000	0.0000002384
933	0.9111328125	84.7146701813	84.7146701813	0.0000000000	0.0000000000
934	0.9121093750	84.8749160767	84.8749160767	0.0000000000	0.0000000000
935	0.9130859375	85.0353336334	85.0353336334	0.0000000000	0.0000001192
936	0.9140625000	85.1959228516	85.1959228516	0.0000000000	0.0000000000
937	0.9150390625	85.3566837311	85.3566837311	0.0000000000	0.0000000000
938	0.9160156250	85.5176162720	85.5176162720	0.0000000000	0.0000002384
939	0.9169921875	85.6787204743	85.6787204742	0.0000000000	0.0000000000
940	0.9179687500	85.8399963379	85.8399963379	0.0000000000	0.0000000000
941	0.9189453125	86.0014438629	86.0014438629	0.0000000000	0.0000002384
942	0.9199218750	86.1630630493	86.1630630493	0.0000000000	0.0000004768
943	0.9208984375	86.3248538971	86.3248538971	0.0000000000	0.0000002384
944	0.9218750000	86.4868164063	86.4868164062	0.0000000000	0.0000000000
945	0.9228515625	86.6489505768	86.6489505768	0.0000000000	0.0000000000
946	0.9238281250	86.8112564087	86.8112564087	0.0000000000	0.0000002384
947	0.9248046875	86.9737339020	86.9737339020	0.0000000000	0.0000000000
948	0.9257812500	87.1363830566	87.1363830566	0.0000000000	0.0000000000
949	0.9267578125	87.2992038727	87.2992038727	0.0000000000	0.0000002384
950	0.9277343750	87.4621963501	87.4621963501	0.0000000000	0.0000000000
951	0.9287109375	87.6253604889	87.6253604889	0.0000000000	0.0000002384
952	0.9296875000	87.7886962891	87.7886962891	0.0000000000	0.0000002384
953	0.9306640625	87.9522037506	87.9522037506	0.0000000000	0.0000000000
954	0.9316406250	88.1158828735	88.1158828735	0.0000000000	0.0000004768
955	0.9326171875	88.2797336578	88.2797336578	0.0000000000	0.0000000000
956	0.9335937500	88.4437561035	88.4437561035	0.0000000000	0.0000002384
957	0.9345703125	88.6079502106	88.6079502106	0.0000000000	0.0000000000
958	0.9355468750	88.7723159790	88.7723159790	0.0000000000	0.0000000000
959	0.9365234375	88.9368534088	88.9368534088	0.0000000000	0.0000000000
960	0.9375000000	89.1015625000	89.1015625000	0.0000000000	0.0000002384
961	0.9384765625	89.2664432526	89.2664432526	0.0000000000	0.0000002384
962	0.9394531250	89.4314956665	89.4314956665	0.0000000000	0.0000002384
963	0.9404296875	89.5967197418	89.5967197418	0.0000000000	0.0000000000
964	0.9414062500	89.7621154785	89.7621154785	0.0000000000	0.0000002384
965	0.9423828125	89.9276828766	89.9276828766	0.0000000000	0.0000004768
966	0.9433593750	90.0934219360	90.0934219360	0.0000000000	0.0000000000
967	0.9443359375	90.2593326569	90.2593326569	0.0000000000	0.0000002384
968	0.9453125000	90.4254150391	90.4254150391	0.0000000000	0.0000000000
969	0.9462890625	90.5916690826	90.5916690826	0.0000000000	0.0000004768
970	0.9472656250	90.7580947876	90.7580947876	0.0000000000	0.0000002384
971	0.9482421875	90.9246921539	90.9246921539	0.0000000000	0.0000002384
